Country Code ISO3,Country,2021 SDG Index Rank,2021 SDG Index Score,Regional Score (0-100),Regions used for the SDR,Population in 2020,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
ZMB,Zambia,141,53.4,51.9,Africa,"18,383,956",9.2975,60.96885714,48.59364286,66.05566667,59.293,51.0242,47.13666667,56.784,17.203,0.466,55.7225,93.2035,98.112,,69.193,51.4971,55.09225
ZWE,Zimbabwe,125,58.7,51.9,Africa,"14,862,927",,47.881,43.28471429,82.08966667,78.3705,49.407,47.02133333,61.4965,17.8178,34.074,58.692,94.7485,97.18266667,,77.3994,49.2155,60.246
_E_Euro_Asia,Eastern Europe and Central Asia,,71.4,,,,94.8805,57.76914286,74.46728571,92.749,61.2645,68.965,87.53433333,68.67133333,46.55,71.9555,73.393,80.13966667,82.08466667,,65.5108,61.08455556,65.266
_E_S_Asia,East and South Asia,,65.7,,,,79.0695,65.10025,69.07492857,89.97033333,55.713,62.946,72.657,69.55783333,54.78916667,28.6815,64.65375,89.32816667,92.137,59.34233333,51.4078,63.0824,50.2255
_LAC,Latin America and the Caribbean,,68.6,,,,79.246,63.70675,75.59757143,87.725,71.51975,80.5752,88.947,66.4225,45.2105,16.076,75.08175,79.84433333,91.839,56.19816667,59.997,59.5316,68.2765
_MENA,Middle East and North Africa,,67.1,,,,87.5925,61.6105,72.90114286,84.99166667,42.2445,57.5042,87.55333333,62.107,46.22233333,61.986,64.2755,83.4575,83.14633333,59.553,55.775,66.631125,63.14933333
_Oceania,Oceania,,50.1,,,,34.152,34.2696,47.27541667,65.254,43.68833333,13.684,38.241,70.383,10.83675,33.7685,76.4705,67.1415,97.7,59.4868,49.34733333,62.54525,47.1005
_OECD,OECD members,,77.2,,,,97.8885,69.367125,89.00192308,92.36848485,74.22475,84.1752,92.59366667,77.25,87.69833333,57.7415,88.25175,62.63066667,65.907,60.91766667,65.873,76.5982,70.042
_SIDS,Small Island Developing States,,62.5,,,,59.3825,51.51085714,63.94641667,82.837,62.895,62.3534,67.638,71.24166667,35.044,33.8255,76.988,72.628,76.833,66.64633333,56.96,64.49766667,56.61725
_Africa,Sub-Saharan Africa,,51.9,,,,21.4785,57.578875,40.69535714,49.602,52.215,50.3182,39.398,59.39816667,21.51783333,25.5445,47.24725,91.28783333,97.583,66.20483333,66.209,50.1848,46.29275
_LIC,Low-income Countries,,51,,,,18.077,54.290125,42.65792857,47.21633333,46.429,45.2616,42.337,52.46166667,11.26083333,48.5545,46.0625,91.2375,99.08966667,68.73533333,61.1904,48.7462,42.723
_LMIC,Lower-middle-income Countries,,60.1,,,,58.029,56.780375,57.45535714,78.9,43.625,57.8056,65.27666667,66.672,36.20366667,30.079,54.20125,91.591,96.18966667,61.62916667,57.3632,58.311,50.765
_UMIC,Upper-middle-income Countries,,70.8,,,,92.1085,71.605375,78.19607143,94.504,70.86125,71.2426,81.99133333,69.18916667,64.533,24.817,76.51725,84.10483333,86.853,57.0285,53.5426,69.0259,57.01875
_HIC,High-income Countries,,78.1,,,,99.1655,70.72925,91.11171429,98.42766667,74.3285,73.4486,93.127,80.22283333,91.53233333,67.8765,89.3625,58.44183333,59.805,61.375,68.2996,80.3072,70.67775
